"ciudad","periodo","año","mes","orden","semestre","apertura","rubro","mediana","mediapodada","cantidad_precios","ponderadorImplicito","variacion","incidencia","variacion_anual","incidencia_anual"
"Conurbano","2012-5",2012,5,120,"2012-IS","Almacén-ConHarina","Almacén",83.71,85.75,853,0.17,-2.98,-0.53,,
"Conurbano","2012-5",2012,5,130,"2012-IS","Almacén-SinHarina","Almacén",127.21,128.20,3866,0.26,0.60,0.15,,
"Conurbano","2012-5",2012,5,200,"2012-IS","Verdulería","Verdulería",83.03,81.73,1552,0.17,6.58,1.06,,
"Conurbano","2012-5",2012,5,300,"2012-IS","Carnicería","Carnicería",190.84,189.98,1023,0.39,-0.06,-0.02,,
"Tucuman","2012-5",2012,5,1,"2012-IS","CBA","total",452.25,454.17,4124,1.00,,,,
"Tucuman","2012-5",2012,5,100,"2012-IS","Almacén","Almacén",190.07,191.71,2624,0.42,,,,
"Tucuman","2012-5",2012,5,120,"2012-IS","Almacén-ConHarina","Almacén",68.92,69.56,490,0.15,,,,
"Tucuman","2012-5",2012,5,130,"2012-IS","Almacén-SinHarina","Almacén",121.14,122.15,2134,0.26,,,,
"Tucuman","2012-5",2012,5,200,"2012-IS","Verdulería","Verdulería",78.24,78.81,981,0.17,,,,
"Tucuman","2012-5",2012,5,300,"2012-IS","Carnicería","Carnicería",183.93,183.64,519,0.40,,,,
"Conurbano","2012-6",2012,6,1,"2012-IS","CBA","total",492.84,496.05,6823,1.00,1.65,1.65,,
"Conurbano","2012-6",2012,6,100,"2012-IS","Almacén","Almacén",218.14,221.15,4463,0.44,3.41,1.48,,
"Conurbano","2012-6",2012,6,120,"2012-IS","Almacén-ConHarina","Almacén",87.01,88.58,817,0.17,3.93,0.67,,
"Conurbano","2012-6",2012,6,130,"2012-IS","Almacén-SinHarina","Almacén",131.13,132.57,3646,0.26,3.07,0.80,,
"Conurbano","2012-6",2012,6,200,"2012-IS","Verdulería","Verdulería",85.07,84.05,1439,0.17,2.45,0.42,,
"Conurbano","2012-6",2012,6,300,"2012-IS","Carnicería","Carnicería",189.62,190.83,921,0.38,-0.63,-0.25,,
"Tucuman","2012-6",2012,6,1,"2012-IS","CBA","total",468.50,474.98,4243,1.00,3.59,3.59,,
"Tucuman","2012-6",2012,6,100,"2012-IS","Almacén","Almacén",195.43,196.32,2765,0.41,2.82,1.18,,
"Tucuman","2012-6",2012,6,120,"2012-IS","Almacén-ConHarina","Almacén",73.20,71.97,501,0.15,6.20,0.94,,
"Tucuman","2012-6",2012,6,130,"2012-IS","Almacén-SinHarina","Almacén",122.23,124.35,2264,0.26,0.89,0.23,,
"Tucuman","2012-6",2012,6,200,"2012-IS","Verdulería","Verdulería",80.58,84.44,932,0.17,2.98,0.51,,
"Tucuman","2012-6",2012,6,300,"2012-IS","Carnicería","Carnicería",192.48,194.21,546,0.41,4.64,1.88,,
"Chaco","2012-7",2012,7,1,"2012-IIS","CBA","total",443.52,446.55,4636,1.00,,,,
"Chaco","2012-7",2012,7,100,"2012-IIS","Almacén","Almacén",194.67,197.31,3098,0.43,,,,
"Chaco","2012-7",2012,7,120,"2012-IIS","Almacén-ConHarina","Almacén",65.94,67.12,623,0.14,,,,
"Chaco","2012-7",2012,7,130,"2012-IIS","Almacén-SinHarina","Almacén",128.73,130.18,2475,0.29,,,,
"Chaco","2012-7",2012,7,200,"2012-IIS","Verdulería","Verdulería",82.54,81.09,981,0.18,,,,
"Chaco","2012-7",2012,7,300,"2012-IIS","Carnicería","Carnicería",166.30,168.14,557,0.37,,,,
"Conurbano","2012-7",2012,7,1,"2012-IIS","CBA","total",494.65,498.93,6517,1.00,0.36,0.36,33.70,33.52
"Conurbano","2012-7",2012,7,100,"2012-IIS","Almacén","Almacén",218.74,221.64,4308,0.44,0.27,0.12,28.91,13.18
"Conurbano","2012-7",2012,7,120,"2012-IIS","Almacén-ConHarina","Almacén",84.93,87.39,790,0.17,-2.39,-0.42,16.03,3.15
"Conurbano","2012-7",2012,7,130,"2012-IIS","Almacén-SinHarina","Almacén",133.81,134.25,3518,0.27,2.04,0.54,38.67,10.03
"Conurbano","2012-7",2012,7,200,"2012-IIS","Verdulería","Verdulería",85.65,86.25,1320,0.17,0.68,0.11,66.76,9.21
